Epoch,PPL,NPMI
  0,   1898.61,  0.0813
  1,   1890.95,  0.0910
  2,   1885.17,  0.0981
  3,   1880.61,  0.1024
  4,   1877.04,  0.1045
  5,   1873.85,  0.1076
  6,   1871.17,  0.1093
  7,   1868.77,  0.1120
  8,   1866.33,  0.1135
  9,   1863.64,  0.1151
 10,   1860.76,  0.1159
 11,   1857.19,  0.1164
 12,   1853.22,  0.1158
 13,   1849.14,  0.1131
 14,   1844.73,  0.1146
 15,   1840.40,  0.1143
 16,   1835.51,  0.1119
 17,   1831.72,  0.1104
 18,   1825.73,  0.1101
 19,   1820.66,  0.1087
 20,   1818.19,  0.1049
 21,   1814.69,  0.1023
 22,   1811.30,  0.1009
 23,   1805.47,  0.0976
 24,   1803.48,  0.0974
 25,   1798.63,  0.0969
 26,   1795.53,  0.0967
 27,   1791.58,  0.0946
 28,   1790.16,  0.0926
 29,   1785.53,  0.0931
 30,   1783.14,  0.0909
 31,   1779.31,  0.0895
 32,   1777.59,  0.0886
 33,   1770.80,  0.0876
 34,   1771.52,  0.0881
 35,   1769.66,  0.0849
 36,   1765.14,  0.0843
 37,   1763.03,  0.0844
 38,   1760.81,  0.0854
 39,   1755.37,  0.0846
 40,   1752.74,  0.0885
 41,   1753.13,  0.0890
 42,   1752.20,  0.0892
 43,   1746.47,  0.0906
 44,   1744.02,  0.0917
 45,   1740.66,  0.0947
 46,   1740.49,  0.0933
 47,   1735.49,  0.0945
 48,   1735.17,  0.0988
 49,   1733.62,  0.0991
 50,   1729.88,  0.1008
 51,   1725.24,  0.1055
 52,   1728.69,  0.1064
 53,   1725.69,  0.1064
 54,   1721.33,  0.1081
 55,   1723.27,  0.1087
 56,   1720.29,  0.1101
 57,   1718.25,  0.1112
 58,   1717.64,  0.1107
 59,   1715.18,  0.1137
 60,   1709.10,  0.1174
 61,   1711.96,  0.1179
 62,   1709.85,  0.1175
 63,   1709.12,  0.1208
 64,   1710.48,  0.1222
 65,   1705.43,  0.1235
 66,   1708.86,  0.1240
 67,   1703.49,  0.1219
 68,   1700.19,  0.1248
 69,   1699.69,  0.1253
 70,   1697.73,  0.1279
 71,   1700.81,  0.1273
 72,   1696.21,  0.1299
 73,   1699.54,  0.1288
 74,   1691.63,  0.1326
 75,   1693.59,  0.1309
 76,   1694.03,  0.1295
 77,   1693.40,  0.1294
 78,   1692.90,  0.1302
 79,   1689.69,  0.1316
 80,   1689.43,  0.1310
 81,   1692.66,  0.1295
 82,   1682.97,  0.1286
 83,   1689.30,  0.1286
 84,   1687.56,  0.1279
 85,   1680.55,  0.1287
 86,   1682.28,  0.1291
 87,   1683.78,  0.1273
 88,   1682.98,  0.1272
 89,   1679.82,  0.1293
 90,   1677.95,  0.1283
 91,   1682.24,  0.1260
 92,   1677.08,  0.1268
 93,   1676.93,  0.1271
 94,   1681.84,  0.1267
 95,   1676.96,  0.1272
 96,   1679.82,  0.1264
 97,   1669.93,  0.1259
 98,   1677.27,  0.1244
 99,   1669.29,  0.1243
100,   1670.18,  0.1244
101,   1673.21,  0.1229
102,   1674.73,  0.1227
103,   1669.85,  0.1232
104,   1673.16,  0.1230
105,   1671.19,  0.1233
106,   1670.41,  0.1230
107,   1672.02,  0.1238
108,   1668.49,  0.1233
109,   1671.01,  0.1233
110,   1670.40,  0.1251
111,   1670.98,  0.1242
112,   1671.28,  0.1239
113,   1671.57,  0.1246
114,   1669.74,  0.1240
115,   1671.37,  0.1256
116,   1673.71,  0.1231
117,   1663.79,  0.1229
118,   1668.37,  0.1240
119,   1668.81,  0.1251
120,   1667.94,  0.1249
121,   1666.29,  0.1249
122,   1664.84,  0.1251
123,   1665.97,  0.1251
124,   1662.24,  0.1258
125,   1665.92,  0.1253
126,   1662.49,  0.1260
127,   1667.27,  0.1266
128,   1666.43,  0.1269
129,   1668.43,  0.1269
130,   1660.37,  0.1263
131,   1664.50,  0.1249
132,   1662.88,  0.1234
133,   1659.80,  0.1242
134,   1658.31,  0.1238
135,   1661.89,  0.1232
136,   1664.82,  0.1221
137,   1662.07,  0.1227
138,   1661.36,  0.1239
139,   1664.57,  0.1223
140,   1661.27,  0.1223
141,   1660.95,  0.1238
142,   1659.84,  0.1218
143,   1659.80,  0.1205
144,   1657.94,  0.1214
145,   1660.49,  0.1235
146,   1657.74,  0.1206
147,   1664.64,  0.1212
148,   1657.64,  0.1215
149,   1661.36,  0.1215
150,   1661.89,  0.1226
151,   1659.82,  0.1225
152,   1656.58,  0.1237
153,   1659.35,  0.1242
154,   1659.90,  0.1240
155,   1657.10,  0.1235
156,   1660.98,  0.1232
157,   1659.29,  0.1263
158,   1655.36,  0.1277
159,   1652.31,  0.1258
160,   1659.28,  0.1252
161,   1659.91,  0.1268
162,   1657.89,  0.1271
163,   1655.94,  0.1275
164,   1659.32,  0.1274
165,   1658.72,  0.1269
166,   1654.49,  0.1260
167,   1653.16,  0.1260
168,   1664.32,  0.1269
169,   1653.28,  0.1255
170,   1657.48,  0.1255
171,   1654.72,  0.1274
172,   1662.67,  0.1263
173,   1657.35,  0.1282
174,   1656.12,  0.1292
175,   1661.47,  0.1282
176,   1655.38,  0.1292
177,   1653.48,  0.1281
178,   1655.59,  0.1277
179,   1653.65,  0.1300
