Epoch,PPL,NPMI
  0,   3750.44,  0.0253
  1,   3743.36,  0.0205
  2,   3736.98,  0.0225
  3,   3705.59,  0.0308
  4,   3580.26,  0.0710
  5,   3410.98,  0.1130
  6,   3263.55,  0.1415
  7,   3142.73,  0.1750
  8,   3008.90,  0.1961
  9,   2923.86,  0.2160
 10,   2833.29,  0.2298
 11,   2768.06,  0.2413
 12,   2689.10,  0.2472
 13,   2641.86,  0.2555
 14,   2583.06,  0.2601
 15,   2530.45,  0.2627
 16,   2515.97,  0.2673
 17,   2462.67,  0.2742
 18,   2404.65,  0.2783
 19,   2354.30,  0.2846
 20,   2335.93,  0.2914
 21,   2295.26,  0.2941
 22,   2272.09,  0.2975
 23,   2243.86,  0.3035
 24,   2217.51,  0.3094
 25,   2187.07,  0.3117
 26,   2172.59,  0.3161
 27,   2166.76,  0.3155
 28,   2152.52,  0.3159
 29,   2105.40,  0.3180
 30,   2121.54,  0.3200
 31,   2073.04,  0.3214
 32,   2069.98,  0.3229
 33,   2052.10,  0.3218
 34,   2007.67,  0.3217
 35,   2009.50,  0.3207
 36,   2038.42,  0.3236
 37,   2000.28,  0.3270
 38,   1987.83,  0.3255
 39,   1970.95,  0.3288
 40,   1966.07,  0.3280
 41,   1951.07,  0.3287
 42,   1936.36,  0.3284
 43,   1949.58,  0.3293
 44,   1938.63,  0.3227
 45,   1924.68,  0.3210
 46,   1934.29,  0.3173
 47,   1916.45,  0.3163
 48,   1911.51,  0.3130
 49,   1881.03,  0.3112
 50,   1872.08,  0.3069
 51,   1897.39,  0.3035
 52,   1895.66,  0.3033
 53,   1871.52,  0.3026
 54,   1864.91,  0.2996
 55,   1855.94,  0.2962
 56,   1865.83,  0.2951
 57,   1846.22,  0.2890
 58,   1847.48,  0.2896
 59,   1816.90,  0.2856
 60,   1845.19,  0.2837
 61,   1839.01,  0.2844
 62,   1842.97,  0.2788
 63,   1828.11,  0.2762
 64,   1828.84,  0.2762
 65,   1805.21,  0.2746
 66,   1822.49,  0.2727
 67,   1810.64,  0.2718
 68,   1812.76,  0.2697
 69,   1800.81,  0.2662
 70,   1806.22,  0.2646
 71,   1795.54,  0.2621
 72,   1801.85,  0.2608
 73,   1797.23,  0.2559
 74,   1795.14,  0.2559
 75,   1791.59,  0.2546
 76,   1785.12,  0.2520
 77,   1789.55,  0.2516
 78,   1788.57,  0.2506
 79,   1809.50,  0.2510
 80,   1766.33,  0.2500
 81,   1767.16,  0.2468
 82,   1785.01,  0.2472
 83,   1776.02,  0.2462
 84,   1784.72,  0.2429
 85,   1800.45,  0.2426
 86,   1759.61,  0.2397
 87,   1775.10,  0.2401
 88,   1775.20,  0.2404
 89,   1765.27,  0.2388
 90,   1743.85,  0.2362
 91,   1775.99,  0.2332
 92,   1785.80,  0.2338
 93,   1746.57,  0.2303
 94,   1767.94,  0.2310
 95,   1753.65,  0.2322
 96,   1737.89,  0.2292
 97,   1743.53,  0.2299
 98,   1769.30,  0.2284
 99,   1768.69,  0.2278
100,   1784.19,  0.2267
101,   1746.62,  0.2245
102,   1746.44,  0.2241
103,   1751.57,  0.2214
104,   1739.93,  0.2218
105,   1759.59,  0.2212
106,   1744.20,  0.2209
107,   1729.08,  0.2208
108,   1747.42,  0.2191
109,   1741.24,  0.2203
110,   1722.21,  0.2188
111,   1772.12,  0.2200
112,   1761.29,  0.2192
113,   1758.61,  0.2181
114,   1710.54,  0.2174
115,   1736.36,  0.2171
116,   1743.73,  0.2145
117,   1724.74,  0.2124
118,   1727.52,  0.2111
119,   1732.12,  0.2105
